RUA LÍBERO BADARÓ, 504                                                  CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01008906 
RUA LÍBERO BADARÓ, 600                                                  CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01008908 
RUA LÍBERO BADARÓ, 600                                                  CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01008908 
RUA LÍBERO BADARÓ                                                       CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01009000 
RUA LÍBERO BADARÓ, 93                                                   CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01009901 
RUA LÍBERO BADARÓ, 93                                                   CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01009901 
RUA LÍBERO BADARÓ, 101                                                  CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01009902 
RUA LÍBERO BADARÓ, 101                                                  CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01009902 
RUA LÍBERO BADARÓ, 471                                                  CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01009903 
RUA LÍBERO BADARÓ, 471                                                  CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01009903 
RUA LÍBERO BADARÓ, 633                                                  CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01009904 
RUA LÍBERO BADARÓ, 633                                                  CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01009904 
RUA LÍBERO BADARÓ, 425                                                  CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01009905 
RUA LÍBERO BADARÓ, 425                                                  CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01009905 
RUA LÍBERO BADARÓ, 377                                                  CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01009906 
RUA LÍBERO BADARÓ, 377                                                  CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01009906 
RUA LÍBERO BADARÓ, 293                                                  CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01009907 
RUA LÍBERO BADARÓ, 293                                                  CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01009907 
RUA LÍBERO BADARÓ, 73 6º ANDAR                                          CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01009908 
RUA LÍBERO BADARÓ, 73 6º ANDAR                                          CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01009908 
RUA SÃO BENTO                                                           CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01010000 
RUA SÃO BENTO                                                           CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01010001 
PRAÇA ANTÔNIO PRADO                                                     CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01010010 
PRAÇA ANTÔNIO PRADO, 33                                                 CENTRO                                                                  SÃO PAULO                                                               SÃO PAULO                                                               SP01010900
